,Rank,Player,Pos,Team,Bye,Yds,TD,Int,Yds,TD,Rec,Yds,TD,FPts,Value,Team
102,103,Michael Gallup,WR44,DAL,7,0,0,0,4,0,57,849,5.1,172.7,32,0
103,104,Curtis Samuel,WR45,WAS,9,0,0,0,123,1,55,689,4.8,171.4,30.7,0
104,105,Sony Michel,RB40,LAR,11,0,0,0,677,7,17,116,0.3,139.7,30.4,0
105,106,Trevor Lawrence,QB14,JAC,7,4073,24.1,14.8,316,3.5,0,0,0,282.7,30.1,0
106,107,Darnell Mooney,WR46,CHI,10,0,0,0,31,0.2,60,775,4.9,170.6,29.9,0
107,108,Marvin Jones Jr.,WR47,JAC,7,0,0,0,0,0,58,831,4.8,170.1,29.4,0
108,108,Michael Pittman Jr.,WR47,IND,14,0,0,0,5,0,58,788,5.5,170.1,29.4,0
109,110,Logan Thomas,TE8,WAS,9,13,0.1,0,0,0,53,579,5.8,146.3,28.4,0
110,110,Noah Fant,TE8,DEN,11,0,0,0,0,0,59,643,3.9,146.3,28.4,0
111,110,Devonta Smith,WR49,PHI,14,11,0.3,0,14,0.2,56,790,4.9,169.1,28.4,0
112,113,Dallas Goedert,TE10,PHI,14,0,0,0,0,0,57,676,3.6,145.9,28.1,0
113,114,Joe Burrow,QB15,CIN,10,4187,25.5,12,182,2.4,0,0,0,278.5,26.7,0
114,115,Antonio Brown,WR50,TB,9,0,0,0,7,0.2,56,741,5.8,167.2,26.5,0
115,116,Henry Ruggs III,WR51,LV,8,0,0,0,6,0.1,52,780,5.9,166.3,25.6,0
116,117,Kirk Cousins,QB16,MIN,7,4255,28.4,13.3,123,1.2,0,0,0,276.7,25.3,0
117,117,Marquise Brown,WR52,BAL,8,0,0,0,9,0,55,752,5.9,166,25.3,0
118,119,Zack Moss,RB41,BUF,7,0,0,0,512,5.1,25,214,1,134.1,24.8,0
119,120,Bryan Edwards,WR53,LV,8,0,0,0,21,0.3,54,775,4.9,164.9,24.2,0
120,121,J.D. McKissic,RB42,WAS,9,0,0,0,255,1.5,50,376,1.8,132.9,23.6,0
121,122,Jonnu Smith,TE11,NE,14,0,0,0,0,0,52,602,4.5,138.7,21.6,0
122,123,James White,RB43,NE,14,0,0,0,163,1.1,49,404,3.1,130.6,21.3,0
123,124,Hunter Henry,TE12,NE,14,0,0,0,0,0,50,597,4.5,137,20.1,0
124,125,Nelson Agholor,WR54,NE,14,14,0.3,0,37,0.2,57,790,2.9,160.5,19.8,0
125,126,Baker Mayfield,QB17,CLE,13,3942,27.3,12.8,159,1.9,0,4,0,269.4,19.4,0
126,126,Jaylen Waddle,WR55,MIA,14,0,0,0,57,0.5,61,680,3.8,160.1,19.4,0
